Date,Average 2015-2019,Kidney
2020-01-06T05:00:00.000Z,1053,1017
2020-01-13T05:00:00.000Z,1059,1025
2020-01-20T05:00:00.000Z,1056.2,1072
2020-01-27T05:00:00.000Z,1030.6,1035
2020-02-03T05:00:00.000Z,1012.4,1019
2020-02-10T05:00:00.000Z,1001.8,1076
2020-02-17T05:00:00.000Z,1007.6,983
2020-02-24T05:00:00.000Z,1008.8,1014
2020-03-03T05:00:00.000Z,953.2,1029
2020-03-10T04:00:00.000Z,976.4,1006
2020-03-17T04:00:00.000Z,976.4,984
2020-03-24T04:00:00.000Z,965.4,1037
2020-03-31T04:00:00.000Z,935.8,973
2020-04-07T04:00:00.000Z,923.8,960
2020-04-14T04:00:00.000Z,906,1061
2020-04-21T04:00:00.000Z,878.4,1008
2020-04-28T04:00:00.000Z,910.8,919
2020-05-05T04:00:00.000Z,865.6,885
2020-05-12T04:00:00.000Z,871,839
2020-05-19T04:00:00.000Z,840.8,884
2020-05-26T04:00:00.000Z,834.4,850
2020-06-02T04:00:00.000Z,834.8,813
2020-06-09T04:00:00.000Z,822.4,813
2020-06-16T04:00:00.000Z,828.8,830
2020-06-23T04:00:00.000Z,836.2,845
2020-06-30T04:00:00.000Z,830.6,853
2020-07-07T04:00:00.000Z,800.8,885
2020-07-14T04:00:00.000Z,817.4,774
2020-07-21T04:00:00.000Z,799.2,816
2020-07-28T04:00:00.000Z,789,831
2020-08-04T04:00:00.000Z,783,771
